                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2507,                 2.3103,                 1.8732,                0.57596,                0.53122,                 0.5188,                0.25627,                 1.7992,                 1.4336,                 1.7056,              0.0032624,              0.0032624,              0.0032624
                      2,                 1.6446,                 1.2858,                 1.4034,                0.63054,                0.54938,                 0.5859,                0.30249,                 1.6086,                 1.3102,                 1.5346,              0.0065951,              0.0065951,              0.0065951
                      3,                 1.5873,                 1.3931,                 1.3684,                0.38365,                  0.394,                0.25875,                0.06041,                 2.7376,                 3.0132,                 3.1801,              0.0099271,              0.0099271,              0.0099271
                      4,                 1.6327,                 1.2818,                 1.3732,                0.59737,                0.51636,                0.51904,                0.26559,                 1.7143,                 1.5794,                 1.6409,               0.009997,               0.009997,               0.009997
                      5,                 1.6155,                  1.217,                 1.3736,                0.58446,                0.54008,                0.54134,                 0.2485,                 1.7583,                 2.5419,                 1.6309,               0.009996,               0.009996,               0.009996
                      6,                 1.5669,                 1.1773,                 1.3465,                0.61881,                0.52447,                0.56574,                 0.2794,                 1.7099,                 1.3953,                 1.5909,              0.0099951,              0.0099951,              0.0099951
                      7,                 1.4949,                   1.16,                   1.33,                0.58209,                 0.4859,                0.52494,                0.27188,                 1.5963,                  1.201,                 1.4705,              0.0099941,              0.0099941,              0.0099941
                      8,                 1.4996,                 1.1144,                 1.2956,                0.62601,                0.56244,                0.58231,                0.26301,                 1.7627,                 1.3448,                 1.7135,              0.0099931,              0.0099931,              0.0099931
                      9,                 1.5078,                 1.1492,                  1.314,                0.67746,                0.53708,                 0.5907,                0.34801,                 1.4084,                 1.1063,                 1.3745,              0.0099921,              0.0099921,              0.0099921
                     10,                 1.5274,                 1.0972,                 1.3095,                0.59762,                0.50405,                 0.4937,                0.26799,                  1.605,                 1.2606,                 1.5162,              0.0099911,              0.0099911,              0.0099911
                     11,                 1.4754,                 1.0774,                 1.2861,                0.64338,                0.54218,                0.59232,                0.31829,                 1.4913,                 1.1338,                 1.4376,              0.0099901,              0.0099901,              0.0099901
                     12,                 1.4357,                 1.0483,                 1.2915,                0.62921,                0.53287,                0.55759,                0.34244,                  1.395,                 1.2512,                 1.3599,              0.0099891,              0.0099891,              0.0099891
                     13,                 1.4505,                 1.0428,                   1.27,                0.65047,                0.55981,                0.59775,                0.34458,                  1.495,                 1.1012,                 1.4396,              0.0099881,              0.0099881,              0.0099881
                     14,                 1.4156,                  1.036,                  1.296,                0.68901,                0.55538,                0.62391,                0.31771,                 1.5908,                 1.1509,                 1.4994,              0.0099871,              0.0099871,              0.0099871
                     15,                 1.3714,                 1.0207,                 1.2644,                0.67392,                0.56169,                 0.6155,                0.36263,                 1.4171,                 1.1317,                 1.3745,              0.0099861,              0.0099861,              0.0099861
                     16,                 1.4494,                 1.0813,                 1.2654,                0.65057,                0.54608,                0.59597,                0.34471,                  1.475,                 1.1634,                 1.3831,              0.0099851,              0.0099851,              0.0099851
                     17,                 1.3731,                  1.026,                  1.235,                0.65951,                0.57857,                0.62739,                0.34939,                 1.4834,                 1.0763,                 1.4032,              0.0099842,              0.0099842,              0.0099842
                     18,                 1.3689,                 1.0147,                 1.2582,                0.65447,                0.55449,                0.61321,                0.32943,                 1.5432,                 1.0877,                 1.4434,              0.0099832,              0.0099832,              0.0099832
                     19,                 1.3535,                 1.0294,                 1.2397,                0.65244,                0.54788,                0.59602,                0.32125,                 1.5497,                 1.1606,                 1.4841,              0.0099822,              0.0099822,              0.0099822
                     20,                 1.3427,                0.98986,                 1.2135,                0.64009,                 0.5656,                 0.6172,                 0.3277,                 1.5779,                 1.1075,                 1.4815,              0.0099812,              0.0099812,              0.0099812
                     21,                 1.3584,                 1.0121,                 1.2104,                0.65743,                0.60477,                0.64513,                0.38514,                 1.3708,                 1.0309,                 1.3567,              0.0099802,              0.0099802,              0.0099802
                     22,                 1.4089,                 1.0154,                 1.2222,                0.66081,                 0.5796,                0.63553,                0.37815,                 1.3732,                 1.0203,                 1.3436,              0.0099792,              0.0099792,              0.0099792
                     23,                 1.3098,                 1.0023,                 1.2112,                  0.667,                0.58481,                0.63536,                0.36939,                 1.4174,                 1.0149,                  1.388,              0.0099782,              0.0099782,              0.0099782
                     24,                 1.3369,                 0.9723,                 1.2176,                0.67527,                0.55194,                0.62065,                0.36038,                 1.4482,                  1.024,                 1.4027,              0.0099772,              0.0099772,              0.0099772
                     25,                  1.335,                0.97797,                 1.2112,                0.68406,                  0.568,                0.60968,                0.37027,                 1.3595,                 1.0782,                 1.3408,              0.0099762,              0.0099762,              0.0099762
                     26,                 1.3415,                0.99663,                 1.2361,                0.66153,                0.57296,                0.61151,                0.36775,                 1.3683,                 1.0125,                 1.3444,              0.0099753,              0.0099753,              0.0099753
                     27,                 1.3132,                0.97604,                 1.2165,                 0.6854,                0.55855,                 0.6084,                0.35963,                 1.4236,                0.99688,                 1.3785,              0.0099743,              0.0099743,              0.0099743
                     28,                  1.346,                0.98389,                 1.2191,                0.67356,                0.58414,                0.64458,                0.36815,                 1.4629,                 1.0086,                 1.4162,              0.0099733,              0.0099733,              0.0099733
                     29,                 1.3012,                0.96096,                 1.1935,                 0.6686,                0.57146,                0.62501,                0.35811,                 1.4137,                  1.013,                 1.3711,              0.0099723,              0.0099723,              0.0099723
                     30,                 1.2839,                0.93429,                 1.1945,                0.66214,                 0.5683,                0.61405,                0.35709,                 1.4468,                 1.0157,                 1.3714,              0.0099713,              0.0099713,              0.0099713
                     31,                 1.2713,                0.96443,                 1.2133,                0.66922,                0.55029,                0.63075,                0.34205,                  1.505,                 1.0417,                 1.4182,              0.0099703,              0.0099703,              0.0099703
                     32,                 1.3106,                0.98903,                  1.197,                0.66911,                 0.5731,                0.61329,                0.38447,                 1.2901,                 1.0223,                 1.2938,              0.0099693,              0.0099693,              0.0099693
